cloud_pct,temperature,humidity,temperature_f,weather_label,day_length,transformation_datetime
6,31,38,87.8,chaudt,13.33,2025-11-13 11:52:32.439734
0,29,23,84.2,chaudt,10.28,2025-11-13 11:52:32.439734
97,30,28,86.0,chaudt,11.72,2025-11-13 11:52:32.439734
75,24,46,75.2,modéré,10.69,2025-11-13 11:52:32.439734
75,25,44,77.0,chaudt,12.17,2025-11-13 11:52:32.439734
75,30,70,86.0,chaudt,11.88,2025-11-13 11:52:32.439734
75,19,100,66.2,modéré,10.45,2025-11-13 11:52:32.439734
40,30,77,86.0,chaudt,11.47,2025-11-13 11:52:32.439734
75,26,73,78.8,chaudt,11.95,2025-11-13 11:52:32.439734
20,29,79,84.2,chaudt,11.89,2025-11-13 11:52:32.439734
