cloud_pct,temperature,humidity,temperature_f,weather_label,day_length,transformation_datetime
100,24,79,75.2,modéré,13.37,2025-11-15 10:07:55.856437
0,22,35,71.6,modéré,10.22,2025-11-15 10:07:55.856437
7,32,22,89.6,chaudt,11.71,2025-11-15 10:07:55.856437
40,23,46,73.4,modéré,10.65,2025-11-15 10:07:55.856437
11,26,34,78.8,chaudt,12.18,2025-11-15 10:07:55.856437
12,29,71,84.2,chaudt,11.87,2025-11-15 10:07:55.856437
75,21,56,69.8,modéré,10.4,2025-11-15 10:07:55.856437
0,29,79,84.2,chaudt,11.45,2025-11-15 10:07:55.856437
77,25,74,77.0,chaudt,11.94,2025-11-15 10:07:55.856437
40,29,74,84.2,chaudt,11.88,2025-11-15 10:07:55.856437
