cloud_pct,temp,feels_like,humidity,min_temp,max_temp,wind_speed,wind_degrees,sunrise,sunset
100,24,24,79,23,24,4.12,325,1763176251,1763224383
0,22,21,35,22,22,1.03,0,1763187959,1763224740
7,32,30,22,32,32,4.19,94,1763184208,1763226363
40,23,23,46,23,23,6.17,230,1763180417,1763218754
11,26,26,34,26,26,5.72,64,1763176329,1763220159
12,29,32,71,29,29,2.34,201,1763185769,1763228494
75,21,21,56,21,21,5.66,180,1763190003,1763227445
0,29,35,79,29,29,4.02,5,1763190664,1763231879
77,25,26,74,25,25,1.45,299,1763182819,1763225817
40,29,33,74,29,29,2.57,220,1763186665,1763229429
